ID в ИС ГТИБД,Название,Название (англ.),Адрес (ручной),Дом,Район,Округ,Город,Улица,Адрес,Ближайшее метро,Ближайшая линия метро,Расстояние до метро (м),Метро (широта),Метро (долгота),Телефоны,Сайт,Электропочта,Доступно для лиц с ограниченными возможностями,Геопозиция (широта),Геопозиция (долгота)
4439,"Кинокомплекс ""Новый Рубеж""",негосударственное учреждение,"198329, Санкт-Петербург, пр. ветеранов, 121",121,Красносельский район,муниципальный округ Урицк,Санкт-Петербург,проспект Ветеранов,"Санкт-Петербург, проспект Ветеранов, 121",,,1,,,+7(812)3251515;,www.spbkino.ru,inforubez@spbkino.ru,,59.83413,30.171895
4440,"Кинотеатр ""Mori Cinema""",негосударственное учреждение,"195426, Санкт-Петербург, индустриальный пр., 24",24,Красногвардейский район,муниципальный округ Пороховые,Санкт-Петербург,Индустриальный проспект,"Санкт-Петербург, Индустриальный проспект, 24",Проспект Большевиков,Правобережная линия,3194,59.919775,30.466839,+7(812)6356503; +7(812)6356505;,www.mori-cinema.ru,inforubez@spbkino.ru,,59.946067,30.474043
4441,"Кинотеатр ""Джэм холл-3""",негосударственное учреждение,"197022, Санкт-Петербург, каменноостровский пр., 42, лит. а",42,Петроградский район,муниципальный округ Аптекарский Остров,Санкт-Петербург,Каменноостровский проспект,"Санкт-Петербург, Каменноостровский проспект, 42",Петроградская,Московско-Петроградская линия,,59.966394,30.311502,+7(812)3464079; +7(812)3464082;,www.jamhall.ru,svet@jamhall.ru,,59.966705,30.309364
4442,"Кинотеатр ""Киномакс""",негосударственное учреждение,"198188, Санкт-Петербург, ул. васи алексеева, 6",6,Кировский район,муниципальный округ Автово,Санкт-Петербург,улица Васи Алексеева,"Санкт-Петербург, улица Васи Алексеева, 6",Кировский Завод,Кировско-Выборгская линия,,59.879638,30.26196,+7(812)3353600; +7(812)3353636;,www.kinomax.ru,ekaterina@kinomax-spb.ru,,59.879886,30.265778
4443,"Кинотеатр ""Киностар Сити""",негосударственное учреждение,"196244, Санкт-Петербург, пр. космонавтов, 14",14,Московский район,муниципальный округ Гагаринское,Санкт-Петербург,проспект Космонавтов,"Санкт-Петербург, проспект Космонавтов, 14",Международная,Фрунзенско-Приморская линия,,59.870203,30.379289,+7(812)4489882; +7(812)4489884;,www.kinostardelux.ru,,,59.868948,30.35048
4444,"Кинотеатр ""Кристалл-Палас""",негосударственное учреждение,"191025, Санкт-Петербург, невский пр., 72",72,Центральный район,муниципальный округ Литейный,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 72",Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)2722382;,www.crystalcinema.ru,office@cp.spb.ru,,59.93305,30.346357
4445,"Кинотеатр ""Курортный""",гос. районное учреждение,"197701, Санкт-Петербург, г. сестрорецк, пл. свободы, 1",,Курортный район,,Санкт-Петербург,,"Санкт-Петербург, Сестрорецк",,,1,,,+7(812)4371731;,www.crystalcinema.ru,kurortnykinoteatr@yandex.ru,,60.092406,29.955994
4446,"Кинотеатр ""Нева""",негосударственное учреждение,"191025, Санкт-Петербург, невский пр., 108",108,Центральный район,муниципальный округ Литейный,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 108",Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)3140045;,www.poravkino.ru/neva,kurortnykinoteatr@yandex.ru,,59.931612,30.357694
4447,"Кинотеатр ""Подвиг""",негосударственное учреждение,"196653, Санкт-Петербург, г. колпино, павловская ул., 34",34,Колпинский район,,Санкт-Петербург,Павловская улица,"Санкт-Петербург, Колпино, Павловская улица, 34",,,1,,,+7(812)4695079; +7(812)4695083;,www.podvig-kino.ru,podvig-kino@yandex.ru,,59.747185,30.581203
4448,"Кинотеатр ""Синема Парк""",негосударственное учреждение,"194358, Санкт-Петербург, пр. энгельса, 154",154,Выборгский район,муниципальный округ Шувалово-Озерки,Санкт-Петербург,проспект Энгельса,"Санкт-Петербург, проспект Энгельса, 154",Проспект Просвещения,Московско-Петроградская линия,,60.051365,30.332433,+7(812)4480191; +7(812)4480192;,www.cinemapark.ru,adm@spbg.cinemapark.ru,,60.058987,30.334984
4449,"Кинотеатр ""Художественный""",негосударственное учреждение,"191025, Санкт-Петербург, невский пр., 67",67,Центральный район,муниципальный округ Владимирский,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 67",Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)3140045;,www.poravkino.ru,adm@spbg.cinemapark.ru,,59.931526,30.353831
4450,"Кинотеатр ""Аврора""",гос. городское учреждение,"191023, Санкт-Петербург, невский пр., 60",60,Центральный район,муниципальный округ Дворцовый,Санкт-Петербург,Невский проспект,"Санкт-Петербург, Невский проспект, 60",Гостиный Двор,Невско-Василеостровская линия,,59.933938,30.333745,+7(812)3144859; +7(812)3155254;,www.avrora.spb.ru,avrora@sp.ru,,59.933938,30.339296
4451,"Киноцентр ""Пик""",негосударственное учреждение,"190031, Санкт-Петербург, ул. ефимова, 2, лит. а",2,Адмиралтейский район,муниципальный округ Сенной,Санкт-Петербург,улица Ефимова,"Санкт-Петербург, улица Ефимова, 2",Спасская,Правобережная линия,,59.926575,30.319839,+7(921)9656665; +7(812)4492433;,www.kinopik.info,office@kinopik.info,,59.926354,30.320827
4452,"Киноцентр ""Пилот""",негосударственное учреждение,"194021, Санкт-Петербург, 2-й Муринский пр., 36",36,Выборгский район,муниципальный округ Светлановское,Санкт-Петербург,2-й Муринский проспект,"Санкт-Петербург, 2-й Муринский проспект, 36",Площадь Мужества,Кировско-Выборгская линия,,59.999971,30.366362,+7(812)5500467;,www.kinopilot.spb.ru,office@kinopik.info,,59.999476,30.359248
4453,"Киноцентр ""ПулковоФильм""",негосударственное учреждение,"196140, Санкт-Петербург, шереметьевская ул., 15, лит. а",15,Московский район,муниципальный округ Пулковский меридиан,Санкт-Петербург,Шереметьевская улица,"Санкт-Петербург, Шереметьевская улица, 15",Звёздная,Московско-Петроградская линия,4771,59.833127,30.349438,+7(812)4585250;,www.pulkovotri.ru,pulkovofilm@mail.ru,,59.805794,30.320575
4454,"Сеть кинотеатров ""Каро Фильм"". ""Каро Фильм ""Атмосфера""",негосударственное учреждение,"197372, Санкт-Петербург, комендантская пл.,1, лит. а",1а,Приморский район,муниципальный округ Озеро Долгое,Санкт-Петербург,Комендантская площадь,"Санкт-Петербург, Комендантская площадь, 1а",Комендантский Проспект,Фрунзенско-Приморская линия,,60.008428,30.259077,+7(812)4480505; +7(812)4599525;,www.karofilm.ru,info@peterburg-kino.sp.ru,,60.007596,30.259741
4455,"Сеть кинотеатров ""Каро Фильм"". ""Каро фильм в БЦ ""Москва""",негосударственное учреждение,"191317, Санкт-Петербург, пл. александра невского, 2",2,Центральный район,муниципальный округ Смольнинское,Санкт-Петербург,площадь Александра Невского,"Санкт-Петербург, площадь Александра Невского, 2",Площадь Александра Невского 1,Невско-Василеостровская линия,,59.924253,30.385299,+7(812)4480505;,www.karofilm.ru,info@peterburg-kino.sp.ru,,59.924393,30.386619
4456,"Сеть кинотеатров ""Каро Фильм"". ""Каро Фильм на Байконурской""",негосударственное учреждение,"191144, Санкт-Петербург, ул. байконурская, 14, лит. а",14а,Приморский район,муниципальный округ Озеро Долгое,Санкт-Петербург,Байконурская улица,"Санкт-Петербург, Байконурская улица, 14а",Комендантский Проспект,Фрунзенско-Приморская линия,,60.008428,30.259077,+7(812)4480505;,www.karofilm.ru,,,60.002049,30.272659
4457,"Сеть кинотеатров ""Каро Фильм"". ""Каро Фильм на Дыбенко""",негосударственное учреждение,"193168, Санкт-Петербург, пр. большевиков, 18",18,Невский район,муниципальный округ Оккервиль,Санкт-Петербург,проспект Большевиков,"Санкт-Петербург, проспект Большевиков, 18",Улица Дыбенко,Правобережная линия,,59.907334,30.483413,+7(812)4480505;,www.karofilm.ru,,,59.908601,30.483655
4458,"Сеть кинотеатров ""Каро Фильм"". ""Каро Фильм на Пионерской""",негосударственное учреждение,"197341, Санкт-Петербург, коломяжский пр., 19, корп. 2",19к2,Приморский район,муниципальный округ Комендантский Аэродром,Санкт-Петербург,Коломяжский проспект,"Санкт-Петербург, Коломяжский проспект, 19к2",Пионерская,Московско-Петроградская линия,,60.002427,30.296617,+7(812)4480505;,www.karofilm.ru,,,60.008347,30.297686
4459,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Академический""",негосударственное учреждение,"195220, Санкт-Петербург, гражданский пр., 41",41,Калининский район,муниципальный округ Гражданка,Санкт-Петербург,Гражданский проспект,"Санкт-Петербург, Гражданский проспект, 41",Академическая,Кировско-Выборгская линия,,60.012696,30.396007,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,60.011356,30.398028
4460,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Балканский""",негосударственное учреждение,"192281, Санкт-Петербург, балканская пл., 5",5а,Фрунзенский район,муниципальный округ Балканский,Санкт-Петербург,Балканская площадь,"Санкт-Петербург, Балканская площадь, 5а",Купчино,Московско-Петроградская линия,,59.829328,30.375588,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,59.831829,30.375974
4461,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Заневский каскад""",негосударственное учреждение,"195213, Санкт-Петербург, заневский пр., 67/2",67к2,Красногвардейский район,муниципальный округ Малая Охта,Санкт-Петербург,Заневский проспект,"Санкт-Петербург, Заневский проспект, 67к2",Ладожская,Правобережная линия,,59.932378,30.439351,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,59.93291,30.437653
4462,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Меркурий""",негосударственное учреждение,"197374, Санкт-Петербург, ул. савушкина, 141",141,Приморский район,муниципальный округ № 65,Санкт-Петербург,улица Савушкина,"Санкт-Петербург, улица Савушкина, 141",,,1,,,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,59.990791,30.205807
4463,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""НЕО""",негосударственное учреждение,"199106, Санкт-Петербург, большой пр. в.о., 68",68,Василеостровский район,муниципальный округ № 7,Санкт-Петербург,Большой проспект В.О.,"Санкт-Петербург, Большой проспект В.О., 68",Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,59.931864,30.259984
4464,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Норд""",негосударственное учреждение,"194355, Санкт-Петербург, пр. просвещения, 19",19,Выборгский район,муниципальный округ Шувалово-Озерки,Санкт-Петербург,проспект Просвещения,"Санкт-Петербург, проспект Просвещения, 19",Проспект Просвещения,Московско-Петроградская линия,,60.051365,30.332433,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,60.052604,30.331157
4465,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Родео Драйв""",негосударственное учреждение,"195274, Санкт-Петербург, пр. культуры, 1",1,Калининский район,муниципальный округ Северный,Санкт-Петербург,проспект Культуры,"Санкт-Петербург, проспект Культуры, 1",Политехническая,Кировско-Выборгская линия,,60.008842,30.370854,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,60.033594,30.367728
4466,"Сеть кинотеатров ""Кронверк Синема"". Кинотеатр ""Феличита""",негосударственное учреждение,"193318, Санкт-Петербург, ул. коллонтай, 3",3,Невский район,муниципальный округ Невский,Санкт-Петербург,улица Коллонтай,"Санкт-Петербург, улица Коллонтай, 3",Проспект Большевиков,Правобережная линия,,59.919775,30.466839,+7(812)4484448;,www.kronverkcinema.ru,info@kronverkcinema.ru,,59.912806,30.44695
4467,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж в ТК ""Атлантик Сити""",негосударственное учреждение,"197374, Санкт-Петербург, ул. савушкина, 126",126,Приморский район,муниципальный округ № 65,Санкт-Петербург,улица Савушкина,"Санкт-Петербург, улица Савушкина, 126",,,1,,,+7(812)6776060;,www.mirage.ru,cinema@mirage.spb.ru,,59.986308,30.203821
4468,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема в ""Озерках""",негосударственное учреждение,"194356, Санкт-Петербург, пр. энгельса, 124",124,Выборгский район,муниципальный округ Шувалово-Озерки,Санкт-Петербург,проспект Энгельса,"Санкт-Петербург, проспект Энгельса, 124",Озерки,Московско-Петроградская линия,,60.037027,30.321734,+7(812)6359658; +7(812)6771840;,www.mirage.ru,cinema@mirage.spb.ru,,60.039005,30.323234
4469,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема на Большом""",негосударственное учреждение,"197198, Санкт-Петербург, большой пр., п.с., 35, лит. а",35,Василеостровский район,муниципальный округ Васильевский,Санкт-Петербург,Малый проспект В.О.,"Санкт-Петербург, Малый проспект В.О., 35",Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)4980563; +7(812)2354911;,www.mirage.ru,cinema@mirage.spb.ru,,59.94508,30.267431
4470,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема"" в ТК ""Гулливер""",негосударственное учреждение,"197374, Санкт-Петербург, торфяная дорога, 7",7,Приморский район,муниципальный округ Озеро Долгое,Санкт-Петербург,Торфяная дорога,"Санкт-Петербург, Торфяная дорога, 7",Старая Деревня,Фрунзенско-Приморская линия,,59.989238,30.255178,+7(812)4412235; +7(812)4412233;,www.mirage.ru,cinema@mirage.ru,,59.990669,30.257801
4471,"Сеть кинотеатров ""Мираж Синема"". Кинотеатр ""Мираж Синема"" в ТК ""Ульянка""",негосударственное учреждение,"198261, Санкт-Петербург, пр. ветеранов, 101",101,Кировский район,муниципальный округ Ульянка,Санкт-Петербург,проспект Ветеранов,"Санкт-Петербург, проспект Ветеранов, 101",,,1,,,+7(812)4486060;,www.mirage.ru,cinema@mirage.ru,,59.834035,30.204845
4472,"Сеть кинотеатров ""Каро Фильм"". ""Варшавский экспресс""",негосударственное учреждение,"190005, Санкт-Петербург, наб. обводного кан., 118",118,Адмиралтейский район,муниципальный округ Измайловское,Санкт-Петербург,набережная Обводного Канала,"Санкт-Петербург, набережная Обводного Канала, 118",Балтийская,Кировско-Выборгская линия,,59.907149,30.299564,+7(812)3331093;,www.karofilm.ru,info@karofilm.ru,,59.906923,30.307352
4473,"Сеть кинотеатров ""Каро Фильм"". ""Каро Фильм Континент""",негосударственное учреждение,"198302, Санкт-Петербург, пр. стачек, 99",99,Кировский район,муниципальный округ Красненькая Речка,Санкт-Петербург,проспект Стачек,"Санкт-Петербург, проспект Стачек, 99",Автово,Кировско-Выборгская линия,,59.867213,30.26143,+7(812)3331291;,karofilm.ru,info@karofilm.ru,,59.858575,30.247929
